番号,回答
1,本社は。
2,資本金は。
3,従業員数は。
4,代表取締役は。
5,会社の事業内容
6,お客様の問い合わせ電話番号は。
7,葬儀会館を教えてください。
8,市脇会館の住所は。
9,小原田会館の住所は。
10,小原田別館の住所は。
11,フラワーランドはなひらの住所は。
12,市脇会館1階ホールはどのような葬儀ができますか。
13,市脇会館2階ホールはどのような葬儀ができますか。
14,小原田会館はどのような葬儀ができますか。
15,小原田別館はどのような葬儀ができますか。
16,対応エリアは。
17,代表取締役社長平野聖太郎の携帯番号
18,市脇会館直通電話番号
19,本社直通電話番号
20,小原田本館・別館直通電話番号
21,
22,
23,
24,
25,
26,
27,経理担当
28,営業責任者
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,ご遺族との打ち合わせ手順は。
51,葬儀プランの説明方法を教えてください。
52,祭壇の設営手順は。
53,お通夜や告別式の準備スケジュールは。
54,供花や供物の発注方法を教えてください。
55,葬儀プランの一覧を確認する方法は。
56,使用可能な式場のリストを教えてください。
57,会葬礼状の文例はどこで確認できますか？
58,返礼品の在庫状況はどこで確認できますか？
59,仏壇や仏具の取り扱いガイドラインは？
60,ご遺族からの問い合わせへの対応例は？
61,クレームがあった場合の対応方法を教えてください。
62,緊急連絡先のリストを確認するには？
63,故人の宗教や信仰に応じた対応方法は？
64,感謝の言葉をどう伝えるべきか？
65,出勤スケジュールの確認方法は？
66,休暇申請の手順を教えてください。
67,業務中の服装規定は？
68,経費精算の方法を教えてください。
69,社内システムへのログイン手順は？
70,電話やPCのトラブルがあった場合の対処法は？
71,プリンタの設定方法を教えてください。
72,社内Wi-Fiの接続手順は？
73,社内研修の日程はどこで確認できますか？
74,新人マニュアルをダウンロードする方法は？
75,接遇マナー研修の内容を教えてください。
76,式場で急病人が出た場合の対応方法は？
77,火葬場の設備トラブルがあった場合の連絡先は？
78,台風や災害が発生した場合の葬儀スケジュール変更方法は？
79,名刺や資料の補充を依頼する方法は？
80,業務連絡のテンプレートはどこにありますか？
81,お客様への謝礼の手配方法は？
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,